날짜,Sales Amt,Sales SU,Unit Price,금액,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),체감온도,PM10,PM25,SO2,CO,O3,NO2
2017-10-06,2695181.0,487.0,,2695181,18.866666666666667,0.1,2.35,63.958333333333336,13.795833333333334,11.666666666666666,1009.3291666666668,1019.3874999999999,0.3538461538461538,0.40923076923076923,,,8.142857142857142,6.791666666666667,24.458333333333332,1899.4583333333333,19.658333333333335,19.954166666666666,20.1875,20.158333333333335,20.419860914586852,,,,,,
2017-10-07,2438571.0,508.0,,2438571,21.370833333333334,0.025,1.1875,70.0,17.216666666666665,15.141666666666666,1009.375,1019.3333333333334,0.47692307692307695,0.7053846153846154,,,7.75,6.208333333333333,13.125,2000.0,23.629166666666666,22.425,21.583333333333332,20.787499999999998,23.680854782655086,,,,,,
2017-10-08,677849.0,156.0,,677849,23.008333333333336,,1.5166666666666666,66.25,18.191666666666666,16.0,1011.9916666666667,1021.9125,0.7692307692307693,0.716923076923077,,,5.944444444444445,3.9583333333333335,17.272727272727273,1881.8333333333333,24.891666666666666,23.666666666666668,22.8625,22.016666666666666,25.142335553615144,,,,,,
2017-10-09,2982171.0,506.0,,2982171,22.579166666666666,0.0,1.4458333333333335,66.375,17.770833333333332,15.612499999999999,1011.4708333333333,1021.4333333333334,0.5,0.556923076923077,,,7.5,5.25,24.47826086956522,1257.2083333333333,24.495833333333334,23.5125,23.0625,22.416666666666668,24.637253615302992,,,,,,
2017-10-10,2252915.0,405.0,,2252915,21.291666666666668,0.02,1.1333333333333333,76.16666666666667,19.1125,16.758333333333333,1008.5791666666668,1018.5083333333333,0.07692307692307693,0.28846153846153844,,,8.65,5.791666666666667,13.285714285714286,883.7916666666666,21.6875,21.95,22.183333333333334,22.1375,23.49967330489092,,,,,,
2017-10-11,2015207.0,375.0,,2015207,16.283333333333335,1.6916666666666667,3.0500000000000003,79.41666666666667,14.970833333333333,12.508333333333333,1007.6083333333332,1017.7541666666666,0.14615384615384613,0.2976923076923077,,,9.5,6.458333333333333,17.40909090909091,1469.375,17.554166666666667,19.483333333333334,20.658333333333335,21.279166666666665,17.395578879201864,,,,,,
2017-10-12,2747769.0,552.0,,2747769,11.59047619047619,,2.0761904761904764,68.57142857142857,9.295238095238094,5.923809523809524,1010.6857142857143,1021.0666666666667,0.0,0.27875,,,8.933333333333334,5.1,31.636363636363637,1986.2380952380952,12.614285714285714,15.433333333333334,17.47142857142857,19.04285714285714,12.781576805857,,,,,,
2017-10-17,2233092.0,463.0,,2233092,16.183333333333334,,1.3916666666666666,45.791666666666664,8.283333333333333,3.9875000000000003,1014.3208333333333,1024.5416666666667,0.8583333333333334,0.8583333333333334,,,0.8333333333333334,1.1666666666666667,53.25,1704.7083333333333,15.941666666666668,16.833333333333332,17.125,17.504166666666666,18.174307573587683,,,,,,
2017-10-20,2016724.0,413.0,,2016724,16.974999999999998,,1.4708333333333334,57.375,10.508333333333335,7.658333333333334,1008.8125,1018.9416666666666,0.8416666666666667,0.8125,,,0.16666666666666666,0.125,13.333333333333334,1783.875,16.554166666666667,17.316666666666666,17.441666666666666,17.445833333333333,18.86098504307158,,,,,,
2017-11-01,2657211.0,64.0,3176.764705882353,2657211,14.216666666666667,,2.1041666666666665,72.41666666666667,11.633333333333333,9.154166666666667,1010.6625,1020.9333333333334,0.16666666666666666,0.245,,,8.38888888888889,5.0,10.583333333333334,1150.875,14.141666666666666,14.291666666666666,14.566666666666668,14.929166666666667,15.590793238330521,,,,,,
