날짜,PM10,PM25,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),체감온도,기압차,풍압,판매량_어제,판매량_7일평균,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12,Sales Amt
2017-12-06,36.616813602015114,24.362432767894084,1.2846153846153845,131.53846153846155,70.79166666666667,4.2875000000000005,-5.1875,1011.6708333333332,1022.5333333333333,9.61111111111111,1186.875,0.11666666666666665,1.4333333333333333,2.3291666666666666,3.5666666666666664,4.55,1.2703525641025646,10.862500000000068,168.97633136094674,3633255.0,4062254.714285714,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.056960633454423
2017-12-07,46.062025316455696,32.451873935264054,1.6916666666666667,248.33333333333334,67.54166666666667,4.470833333333333,-5.0125,1011.6333333333333,1022.4583333333334,8.615384615384615,949.4166666666666,1.695833333333333,3.0,3.5833333333333335,4.258333333333334,4.8999999999999995,1.93375,10.825000000000045,420.09722222222223,3460627.0,3988007.8571428573,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.050830855132638
2017-12-08,34.143825069294735,20.867124394184167,1.8499999999999999,289.5833333333333,41.75,1.8666666666666665,-15.366666666666667,1013.4125,1024.4541666666667,18.0,1872.2083333333333,-1.5166666666666666,0.5666666666666667,2.1875,3.7125,4.683333333333334,-3.8674999999999993,11.041666666666629,535.7291666666666,3439479.0,3955999.8571428573,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,15.127923152113352
2017-12-09,43.16676755447942,26.629217943628422,1.0791666666666668,112.91666666666667,46.0,2.6333333333333333,-11.233333333333334,1009.9416666666666,1020.8249999999999,12.0,1860.9583333333333,-1.25,0.47500000000000003,1.6500000000000001,3.0500000000000003,4.070833333333334,-0.22125000000000017,10.883333333333326,121.8559027777778,3715125.0,3959616.1428571427,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,15.32950968232436
2017-12-10,41.43685173886516,26.740194010965837,2.004166666666667,146.66666666666666,69.70833333333333,4.704166666666667,-4.033333333333333,1003.7875,1014.5291666666667,9.391304347826088,1043.0416666666667,-0.2708333333333333,0.75,1.7,2.908333333333333,3.8375,1.8799999999999994,10.741666666666674,293.94444444444446,4544869.0,3390981.8571428573,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,13.730261989949877
2017-12-11,47.5040173053152,9.676967449526163,3.608333333333333,288.75,39.375,1.4958333333333333,-17.983333333333334,1012.25,1023.3916666666668,13.8,1991.1666666666667,-3.029166666666667,-0.07083333333333335,1.325,2.6041666666666665,3.5541666666666667,-7.61125,11.141666666666765,1041.90625,918283.0,3464075.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.327751872425596
2017-12-12,34.90492412511613,17.386206896551723,2.033333333333333,321.6666666666667,42.791666666666664,1.2625,-19.9375,1018.9625,1030.3083333333334,17.78829122232438,1966.7916666666667,-5.916666666666667,-1.8541666666666667,0.2333333333333333,1.9541666666666666,3.0416666666666665,-9.606250000000001,11.345833333333417,654.0555555555555,4536887.0,3522991.5714285714,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.213158225702456
2017-12-13,39.18963414634146,20.131610337972166,1.7874999999999999,261.25,41.166666666666664,1.2750000000000001,-19.879166666666666,1021.1791666666667,1032.5249999999999,17.78829122232438,1954.125,-6.133333333333333,-2.5208333333333335,-0.5041666666666667,1.3583333333333334,2.529166666666667,-8.632916666666667,11.34583333333319,466.98437499999994,4045671.0,3593046.1428571427,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.189481800395134
2017-12-14,60.932291666666664,38.69037155413504,0.8875000000000001,193.75,42.541666666666664,1.5333333333333332,-17.758333333333333,1021.1583333333333,1032.4166666666667,42.25,1617.1666666666667,-5.479166666666667,-2.725,-1.0,0.9166666666666666,2.125,-6.215833333333333,11.25833333333344,171.953125,3951009.0,3712623.5714285714,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.268650620383521
2017-12-15,85.71751237623762,60.241254523522315,0.9833333333333334,192.08333333333334,50.458333333333336,2.3958333333333335,-12.325000000000001,1016.2958333333332,1027.3500000000001,10.071428571428571,1000.2083333333334,-3.15,-1.7,-0.7333333333333334,0.7625000000000001,1.9000000000000001,-2.4537500000000003,11.054166666666902,188.88194444444446,4276521.0,3758763.5714285714,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,15.211286328129496
